0|The Potty Project, India|Research exploring sanitation in low-income urban India was playfully dubbedThe Potty Project.The study pursued a user-centered examination of behaviours, experiences and attitudes to existing modes of sanitation in a variety of selected slums across India.|June 02, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Vijayawada, Andhra Pradesh, India|Development;Water;Health;Community
1|The Importance of Community Support|From the IDEO Ghanasan Team: The people in the community trust their leaders to filter information and present them with relevant information. It became clear to us in Kumsai, Ghana, that close involvement from elders, religious leaders and politicians would have to play a large role through-out the design process  as they are the community gate-keepers to the acceptance of new ideas.|June 07, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Gauteng, South Africa|Water;Health
2|Looking at the Whole Sanitation Picture|The challenge with a wide scope of opportunities is that the system which links them must be robust enough not to breakdown at any point.|June 08, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Gauteng, South Africa|Water;Health
3|Prototype to Pilot (and issues in between)|Tough issues can arise during prototyping and the road to piloting may be rocky. Don't loose faith! It's important to keep listening, learning, evaluating and iterating.|June 08, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Gauteng, South Africa|Water;Health
4|Fail Early, Fail Often|At IDEO, designers live by the mantra fail early, fail often, and weve kept true to that this week here in Ghana. After leaving four toilet prototypes with families to test for a few days, we met with the families and came across some pointed criticisms from the users.|June 08, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Gauteng, South Africa|Water;Health
5|Testing Toilets in Accra|Prototype, test, refine, repeat.|June 08, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Gauteng, South Africa|Water;Health
6|Prototyping Dilemmas|Jocelyn Wyatt - Co-Lead ofIDEO.organd a lead on the Ghanasan team - explains why one of the toughest things about prototyping in the field is having to explain to people why you need to take the prototype away after they have tried it.|August 17, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Gauteng, South Africa|Water
7|Displays of Optimism|Whenever Im asked my impressions about India, one of the things I always remark on is the sense of optimism that permeates the culture.|August 30, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Gauteng, South Africa|Water
8|The Value of Prototyping|&#13;|August 30, 2011|Adam Reineck|IDEO.org|http://www.hcdconnect.org/profiles/adam/|Kumasi, Ashanti, Ghana|Water
9|Engaging with the Community|Tiffany, Adam, and Jocelyn spend three days with WaterHealth in Hyderabad and Krishna districts working together to develop a communications strategy to increase the WaterHealth customer base.|August 30, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Kumasi, Ashanti, Ghana|Water
10|Building a Microenterprise|The team spends the week working with the team from WSUP (Water and Sanitation for the Urban Poor), which is busy building a microenterprise to distribute water in the slums of Bangalore.|August 31, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Kumasi, Ashanti, Ghana|Water
11|Where the Waste Goes|Since arriving in Kumasi, the IDEO team has studied where all the waste from pit latrines, sewers, and plastic bags ends up. And they've seen some pretty disturbing things|September 08, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Gauteng, South Africa|Water;Health
12|Getting Honest Answers|Sanitation is a tough topic to discuss  its taboo, private, and a generally distasteful thing to ask about. At the same time, its done behind walls, in the dark, or at least out of the public eye, so its not something one can easily observe. This makes design research quite difficult.|September 08, 2011|Jocelyn Wyatt|IDEO.org|http://www.hcdconnect.org/profiles/jocelyn/|Gauteng, South Africa|Water;Community Development
13|Taking Global Ideas Local|"Our first project has launched!IDEO.org/"" target=""_blank"">IDEO.organd TEDx have kicked off a project to design a new TEDx in a Box experience."|September 22, 2011|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Jamaica|Community Development
14|Prototyping with the TEDx in a Box Team|We visited withRobin and Marika in the IDEO shop, where they were busy prototyping the new Human-Centered Design version of TEDx in a Box.|September 30, 2011|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Jamaica|Community Development
15|What Happens When No One Needs to Own an answer?|IDEO.orgFellow Sarah Lidgus and her team begin interviewing experts in the field of youth employment, and come to realize that information-sharing works a bit differently in thesocial sector.|October 04, 2011|Sarah Lidgus|IDEO.org|http://www.hcdconnect.org/profiles/sarah/|Jamaica|Community Development
16|Inspired by the MUWS|"IDEO.org"" target=""_blank"">IDEO.orgFellow Liz Ogbu talks Multiple Use Water Services (MUWS) and introduces the IDEO.org team that will be working with Winrock International to create water systems that are more robust, durable, and profitable for developing world users."|October 04, 2011|Liz Ogbu|California College of the Arts - Center for Art and Public Life|http://www.hcdconnect.org/profiles/liz/|Milwaukee, WI|Water
17|How We Learned to Stop Worrying and Love Our Battery|IDEO.orgFellow Marika Shioiri-Clark provides a wrapup of the TEDx project and ruminates on the Gandhi Box that the team created.|October 12, 2011|Marika Shioiri-Clark|SOSHL Studio|http://www.hcdconnect.org/profiles/marika/|Jamaica|Community Development
18|Balancing Youth Employment Campaigns and a Massive To-do List, the Rockefeller Team Readies for Departure|Emily Friedberg and the rest of the Rockefeller team balance a growing to-do list as thedeparture date for India and Kenya draws near.|October 12, 2011|Emily Friedberg|IDEO.org|http://www.hcdconnect.org/profiles/emily/|Jamaica|Community Development
19|Thinking Inside the Box with TEDx and IDEO.org|The first iteration of theIDEO.orgTEDx in a Box prototype is complete and ready for action at TEDx events around the world.Check it out!|October 17, 2011|Robin Bigio|IDEO.org|http://www.hcdconnect.org/profiles/robin/|Jamaica|Community Development
